gen     nevals  avg             std             min             max
0       50      [14.7081534]    [29.54885073]   [1.77684852]    [173.82747209]
1       50      [5.04073503]    [1.65601875]    [1.77684852]    [6.36785786] 
2       50      [3.56636817]    [1.53367226]    [1.42906057]    [6.26031116]  
3       50      [2.15714952]    [0.40378222]    [1.34024269]    [2.97103993]
4       50      [1.96422581]    [0.27543634]    [1.33112345]    [2.45170207]
5       50      [1.71430549]    [0.19248573]    [1.33112345]    [2.03280936]
6       50      [1.53678025]    [0.15724907]    [1.33112345]    [1.88027694]
7       50      [1.43993421]    [0.13550269]    [1.30634226]    [1.73158702]
8       50      [1.38082414]    [0.12265437]    [1.29267373]    [1.66592185]
9       50      [1.34033713]    [0.10096058]    [1.05840307]    [1.4711563] 
10      50      [1.31096364]    [0.09015041]    [1.05840307]    [1.42906057]  
11      50      [1.28068135]    [0.08487825]    [1.05840307]    [1.38925557]
12      50      [1.2531233]     [0.07587737]    [1.05840307]    [1.35450772]  
13      50      [1.22607417]    [0.06473875]    [1.05840307]    [1.31817602]
14      50      [1.21169252]    [0.06100233]    [1.05840307]    [1.29314454]
15      50      [1.20063311]    [0.05918305]    [1.05840307]    [1.2840995]
16      50      [1.19612904]    [0.05622901]    [1.05840307]    [1.27267406]  
17      50      [1.18580891]    [0.0532235]     [1.05840307]    [1.25879798]  
18      50      [1.17614106]    [0.05346358]    [1.05840307]    [1.24570917] 
19      50      [1.17169035]    [0.05238247]    [1.03943917]    [1.24346989]
20      50      [1.16409382]    [0.05239223]    [1.03943917]    [1.23323224]
21      50      [1.16014851]    [0.05266565]    [1.03943917]    [1.2244432]
22      50      [1.15393519]    [0.05051348]    [1.03943917]    [1.22048948]
23      50      [1.14749733]    [0.04375087]    [1.03943917]    [1.20710439]  
24      50      [1.13723694]    [0.05028762]    [0.96277858]    [1.20207885]
25      50      [1.13113098]    [0.05127669]    [0.96277858]    [1.19184213]
26      50      [1.12688076]    [0.05431433]    [0.96277858]    [1.18936024]  
27      50      [1.12263107]    [0.05348664]    [0.96277858]    [1.18745444]
28      50      [1.12024271]    [0.05151941]    [0.96277858]    [1.17967435]
29      50      [1.11779279]    [0.05049285]    [0.96277858]    [1.17624313]
30      50      [1.11685772]    [0.04956107]    [0.96277858]    [1.17406637]  
31      50      [1.11269436]    [0.04726769]    [0.96277858]    [1.16600514]
32      50      [1.11269436]    [0.04726769]    [0.96277858]    [1.16600514]
33      50      [1.10932874]    [0.04540826]    [0.96277858]    [1.15674195]
34      50      [1.10595468]    [0.04492262]    [0.96277858]    [1.15372994]  
35      50      [1.10353193]    [0.04435585]    [0.96277858]    [1.153002]
36      50      [1.10353193]    [0.04435585]    [0.96277858]    [1.153002]    
37      50      [1.09981639]    [0.0439811]     [0.96277858]    [1.15123033]  
38      50      [1.09804226]    [0.04331743]    [0.96277858]    [1.14941961]
39      50      [1.09721141]    [0.04259611]    [0.96277858]    [1.14804627]
40      50      [1.09588172]    [0.041893]      [0.96277858]    [1.14542778]
41      50      [1.09401413]    [0.04068208]    [0.96277858]    [1.14178203]
42      50      [1.09318455]    [0.04003995]    [0.96277858]    [1.14042683]
43      50      [1.08955748]    [0.03873554]    [0.96277858]    [1.13917215]  
44      50      [1.08883281]    [0.03798283]    [0.96277858]    [1.13701425]
45      50      [1.08851307]    [0.03764165]    [0.96277858]    [1.13468095]
46      50      [1.08851307]    [0.03764165]    [0.96277858]    [1.13468095]  
47      50      [1.08851307]    [0.03764165]    [0.96277858]    [1.13468095]
48      50      [1.08778278]    [0.03708901]    [0.96277858]    [1.13279751]  
49      50      [1.08668653]    [0.03654841]    [0.96277858]    [1.13134884]  
50      50      [1.08274649]    [0.03805604]    [0.96277858]    [1.13050097]





